git commit -m "Proyecto inicial de web scraping con Django"id,name,price,quantity,image_url,source,category,description
1,MERMELADA SIN AZUCAR NATRI 220GR,5600.0,"220 g (g a $ 25,45)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003536.png,D1,,
2,TRIDENT MENTA SIN AZUCAR 5S,1600.0,"8.5 g (g a $ 188,24)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003918.png,D1,,
3,AZÚCAR BLANCA 1000 GRS,4390.0,"1000 g (g a $ 4,39)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000249.png,D1,,
4,AZÚCAR MORENA 1000 GRS,4490.0,"1000 g (g a $ 4,49)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000250.png,D1,,
5,AGUARDIENTE ANTIOQUEÑO SIN AZUCAR 750 ML,49950.0,"750 ml (ml a $ 66,6)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002708.png,D1,,
6,BEBIDA ALMENDRA SIN AZUCAR ALMONDEE 1000ML...,7990.0,"1000 ml (ml a $ 7,99)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004193.png,D1,,
7,TRIDENT SIN AZUCAR FRESHMINT 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006738.png,D1,,
8,TRIDENT SIN AZUCAR SANDIA 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006739.png,D1,,
9,TRIDENT SIN AZUCAR YERBABUENA 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006740.png,D1,,
10,CHOCOLATE SOL 50% MENOS AZUCAR 280GR,12950.0,"280 g (g a $ 46,25)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12007222.png,D1,,
11,CHOCOLATE 50% MENOS AZUCAR SOL 320 G,14900.0,"320 g (g a $ 46,56)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000637.png,D1,,
12,GASEOSA COCA COLA SIN AZUCAR PET 250ML,1300.0,"250 ml (ml a $ 5,2)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004549.png,D1,,
13,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,4650.0,"450 g (g a $ 10,33)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003895.png,D1,,
14,TRIDENT SIN AZUCAR BOTELLA CITRUS 18 UN,7990.0,"37.8 g (g a $ 211,38)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006737.png,D1,,
15,YOGURT GRIEGO NATURAL SIN AZUCAR 330 GR,6950.0,"330 g (g a $ 21,06)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003254.png,D1,,
16,AREQUIPE SIN AZÚCAR NATRI 250 GR,7990.0,"250 g (g a $ 31,96)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001282.png,D1,,
17,GASEOSA COCA COLA SIN AZÚCAR 1750 ML,5650.0,"1750 ml (ml a $ 3,23)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002693.png,D1,,
18,GASEOSA COCA COLA SIN AZÚCAR 2 UNDX2.5L,13750.0,2.5 l (l a $ 5.500),https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005529.png,D1,,
19,TURRONES DE GRANOLA SIN AZÚCAR NATRI 150 GRS...,5490.0,"150 g (g a $ 36,6)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000259.png,D1,,
20,GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE 6 PK ...,9990.0,"168 g (g a $ 59,46)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003201.png,D1,,
21,ARROZ DIANA 500 G,2100.0,"500 g (g a $ 4,2)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002073.png,D1,,
22,ARROZ ECONÓMICO 2000 GRS,6490.0,"2000 g (g a $ 3,25)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002541.png,D1,,
23,ARROZ ECONÓMICO 454 GRS,1480.0,"454 g (g a $ 3,26)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000208.png,D1,,
24,ARROZ ESTÁNDAR 2500G,9150.0,"2500 g (g a $ 3,66)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005770.png,D1,,
25,ARROZ ESTÁNDAR 500 GRS,1850.0,"500 g (g a $ 3,7)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000051.png,D1,,
26,ARROZ INTEGRAL DIANA 1.000 G,4500.0,"1000 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003653.png,D1,,
27,ARROZ PREMIUM 1000 GRS,4500.0,"1000 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000083.png,D1,,
28,ARROZ PREMIUM 2500 G,11250.0,"2500 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002416.png,D1,,
29,ARROZ SABOR A COCO DIANA 1.000 G,6300.0,"1000 g (g a $ 6,3)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004677.png,D1,,
30,ARVEJA EL ESTIO 500 GRS,1990.0,"500 g (g a $ 3,98)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000039.png,D1,,
31,ENDULZANTE CON STEVIA NATRI 180 G,6150.0,"180 g (g a $ 34,17)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002470.png,D1,,
32,ENDULZANTE FRASCO 180 GRS,4990.0,"180 g (g a $ 27,72)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000118.png,D1,,
33,FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,5400.0,"500 g (g a $ 10,8)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000158.png,D1,,
34,FRÍJOL CARAOTA GRANIPACK 500 G,3290.0,"500 g (g a $ 6,58)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002448.png,D1,,
35,FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,6990.0,"500 g (g a $ 13,98)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000040.png,D1,,
36,FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,5200.0,"500 g (g a $ 10,4)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000041.png,D1,,
37,GARBANZO EL ESTÍO 500 GRS,2990.0,"500 g (g a $ 5,98)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000044.png,D1,,
38,LENTEJA EL ESTÍO 500 GRS,3350.0,"500 g (g a $ 6,7)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000042.png,D1,,
39,MAÍZ PIRA EL ESTÍO 500 GRS,2250.0,"500 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000043.png,D1,,
40,PANELA PASTILLA 1000 G,6990.0,"1000 g (g a $ 6,99)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006024.png,D1,,
41,PANELA PULVERIZADA EL REFUGIO 500 G,3400.0,"500 g (g a $ 6,8)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002415.png,D1,,
42,PANELA TRONQUITOS X 900 G,6990.0,"900 g (g a $ 7,77)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006019.png,D1,,
43,PANELA PULVERIZADA LIMÓN EL REFUGIO 400G,3990.0,"400 g (g a $ 9,97)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAMIAAADDCAYAAADQvc6UAAABRWlDQ1BJQ0MgUHJvZmlsZQAAKJFjYGASSSwoyGFhYGDIzSspCnJ3UoiIjFJgf8LAwSDCIMogwMCcmFxc4BgQ4ANUwgCjUcG3awyMIPqyLsis7PPOq3QdDFcvjV3jOD1boQVTPQrgSkktTgbSf4A4LbmgqISBgTEFyFYuLykAsTuAbJEioKOA7DkgdjqEvQHEToKwj4DVhAQ5A9k3gGyB5IxEoBmML4BsnSQk8XQkNtReEOBxcfXxUQg1Mjc0dyHgXNJBSWpFCYh2zi+oLMpMzyhRcASGUqqCZ16yno6CkYGRAQMDKMwhqj/fAIcloxgHQqxAjIHBEugw5sUIsSQpBobtQPdLciLEVJYzMPBHMDBsayhILEqEO4DxG0txmrERhM29nYGBddr//5/DGRjYNRkY/l7////39v///y4Dmn+LgeHANwDrkl1AuO+pmgAAADhlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAAqACAAQAAAABAAAAwqADAAQAAAABAAAAwwAAAAD9b/HnAAAHlklEQVR4Ae3dP3PTWBSGcbGzM6GCKqlIBRV0dHRJFarQ0eUT8LH4BnRU0NHR0UEFVdIlFRV7TzRksomPY8uykTk/zewQfKw/9znv4yvJynLv4uLiV2dBoDiBf4qP3/ARuCRABEFAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghggQAQZQKAnYEaQBAQaASKIAQJEkAEEegJmBElAoBEgghgg0Aj8i0JO4OzsrPv69Wv+hi2qPHr0qNvf39+iI97soRIh4f3z58/u7du3SXX7Xt7Z2enevHmzfQe+oSN2apSAPj09TSrb+XKI/f379+08+A0cNRE2ANkupk+ACNPvkSPcAAEibACyXUyfABGm3yNHuAECRNgAZLuYPgEirKlHu7u7XdyytGwHAd8jjNyng4OD7vnz51dbPT8/7z58+NB9+/bt6jU/TI+AGWHEnrx48eJ/EsSmHzx40L18+fLyzxF3ZVMjEyDCiEDjMYZZS5wiPXnyZFbJaxMhQIQRGzHvWR7XCyOCXsOmiDAi1HmPMMQjDpbpEiDCiL358eNHurW/5SnWdIBbXiDCiA38/Pnzrce2YyZ4//59F3ePLNMl4PbpiL2J0L979+7yDtHDhw8vtzzvdGnEXdvUigSIsCLAWavHp/+qM0BcXMd/q25n1vF57TYBp0a3mUzilePj4+7k5KSLb6gt6ydAhPUzXnoPR0dHl79WGTNCfBnn1uvSCJdegQhLI1vvCk+fPu2ePXt2tZOYEV6/fn31dz+shwAR1sP1cqvLntbEN9MxA9xcYjsxS1jWR4AIa2Ibzx0tc44fYX/16lV6NDFLXH+YL32jwiACRBiEbf5KcXoTIsQSpzXx4N28Ja4BQoK7rgXiydbHjx/P25TaQAJEGAguWy0+2Q8PD6/Ki4R8EVl+bzBOnZY95fq9rj9zAkTI2SxdidBHqG9+skdw43borCXO/ZcJdraPWdv22uIEiLA4q7nvvCug8WTqzQveOH26fodo7g6uFe/a17W3+nFBAkRYENRdb1vkkz1CH9cPsVy/jrhr27PqMYvENYNlHAIesRiBYwRy0V+8iXP8+/fvX11Mr7L7ECueb/r48eMqm7FuI2BGWDEG8cm+7G3NEOfmdcTQw4h9/55lhm7DekRYKQPZF2ArbXTAyu4kDYB2YxUzwg0gi/41ztHnfQG26HbGel/crVrm7tNY+/1btkOEAZ2M05r4FB7r9GbAIdxaZYrHdOsgJ/wCEQY0J74TmOKnbxxT9n3FgGGWWsVdowHtjt9Nnvf7yQM2aZU/TIAIAxrw6dOnAWtZZcoEnBpNuTuObWMEiLAx1HY0ZQJEmHJ3HNvGCBBhY6jtaMoEiJB0Z29vL6ls58vxPcO8/zfrdo5qvKO+d3Fx8Wu8zf1dW4p/cPzLly/dtv9Ts/EbcvGAHhHyfBIhZ6NSiIBTo0LNNtScABFyNiqFCBChULMNNSdAhJyNSiECRCjUbEPNCRAhZ6NSiAARCjXbUHMCRMjZqBQiQIRCzTbUnAARcjYqhQgQoVCzDTUnQIScjUohAkQo1GxDzQkQIWejUogAEQo121BzAkTI2agUIkCEQs021JwAEXI2KoUIEKFQsw01J0CEnI1KIQJEKNRsQ80JECFno1KIABEKNdtQcwJEyNmoFCJAhELNNtScABFyNiqFCBChULMNNSdAhJyNSiECRCjUbEPNCRAhZ6NSiAARCjXbUHMCRMjZqBQiQIRCzTbUnAARcjYqhQgQoVCzDTUnQIScjUohAkQo1GxDzQkQIWejUogAEQo121BzAkTI2agUIkCEQs021JwAEXI2KoUIEKFQsw01J0CEnI1KIQJEKNRsQ80JECFno1KIABEKNdtQcwJEyNmoFCJAhELNNtScABFyNiqFCBChULMNNSdAhJyNSiECRCjUbEPNCRAhZ6NSiAARCjXbUHMCRMjZqBQiQIRCzTbUnAARcjYqhQgQoVCzDTUnQIScjUohAkQo1GxDzQkQIWejUogAEQo121BzAkTI2agUIkCEQs021JwAEXI2KoUIEKFQsw01J0CEnI1KIQJEKNRsQ80JECFno1KIABEKNdtQcwJEyNmoFCJAhELNNtScABFyNiqFCBChULMNNSdAhJyNSiEC/wGgKKC4YMA4TAAAAABJRU5ErkJggg==",D1,,
